#name	infoboxid	title	issn	abbreviation	language	country	former_name	bluebook	discipline	peer-reviewed	publisher	history	openaccess	license	impact	impact-year	CODEN	JSTOR	LCCN	OCLC	ISSNlabel	eISSN	category
Mathematics of Computation	1	Mathematics of Computation	NULL	Math. Comput.	NULL	NULL	NULL	NULL	Mathematics	NULL	American Mathematical Society	1943–present	Delayed, after 5 years	NULL	1.409	2013	MCMPAF	00255718	gs45000054	24991469	NULL	1088-6842	NULL
Behavioral and Brain Sciences	1	NULL	NULL	Behav. Brain Sci.	NULL		NULL	NULL	Life sciences, behavioral sciences, biology, neuroscience, psychology, genetics, psychiatry	NULL	Cambridge University Press	1978–present		NULL	20.771	2014	BBSCDH	NULL	79649226	4172559	NULL	1469-1825	NULL
JAMA Neurology	1	JAMA Neurology	NULL	JAMA Neurol.	NULL		NULL	NULL	Neurology	NULL	American Medical Association	1960-present			10.029	2016	ANNED3		61066291	828795097	NULL	2168-6157	NULL
Blackbird (journal)	1	Blackbird	NULL		English	United States	NULL	NULL	literary journal		Virginia Commonwealth University and New Virginia Review	2002-present									NULL		NULL
Cumberland Law Review	1	Cumberland Law Review	NULL	Cumberl. Law Rev.	NULL	United States	NULL	NULL	Law	NULL	Cumberland School of Law, Samford University	1970-present		NULL	NULL	NULL				2244588	NULL		NULL
Mens Sana Monographs	1	Mens Sana Monographs	NULL	Mens Sana Monogr.	NULL	India	NULL	NULL	Biomedicine, mental health	NULL	Medknow Publications	2003–present	Yes						2009313870	234238733	NULL	1998-4014	NULL
Foundation (journal)	1	Foundation	NULL		NULL	England	NULL	NULL	Science fiction studies	NULL	Science Fiction Foundation	1972-present							79644907	470148578	NULL		NULL
The Astronomical Journal	1	The Astronomical Journal	NULL	Astron. J.	NULL	United States	NULL	NULL	Astronomy	NULL	IOP Publishing for the American Astronomical Society	1849–present	Delayed (12 months)		4.617	2015	ANJOAA		sf78000620	194559707	NULL	1538-3881	NULL
Melbourne Journal of International Law	1	Melbourne Journal of International Law	NULL	Melb. J. Int. Law	NULL	Australia	NULL	Melb. J. Int'l L.	International law	NULL	University of Melbourne	2000–present	NULL	NULL	NULL	NULL	NULL	NULL	2001222127	45753327	NULL	NULL	NULL
Chemical Society Reviews	1	Chemical Society Reviews	NULL	Chem. Soc. Rev.	NULL	United Kingdom	NULL	NULL	Chemistry	NULL	Royal Society of Chemistry	1971-present	NULL	NULL	38.618	2016	CSRVBR	NULL	73640983	191709218	NULL	1460-4744	NULL
Langmuir (journal)	1	Langmuir	NULL	Langmuir	NULL	United States	NULL	NULL	Chemistry	NULL	American Chemical Society	1985-present	NULL	NULL	3.833	2016	LANGD5	NULL	86649842	10666233	NULL	1520-5827	NULL
Economic Geology (journal)	1	Economic Geology	NULL	Econ. Geol.	NULL		NULL	NULL	Economic geology	NULL	Economic Geology Publishing Company	1905–present	NULL					NULL			NULL	1554-0774	NULL
Mind (journal)	1	Mind	NULL	Mind	NULL	United Kingdom	NULL	NULL	Philosophy	NULL	Oxford University Press on behalf of the Mind Association	1876–present		NULL				00264423	sn98-23315	40463594	NULL	1460-2113	NULL
Computational Intelligence (journal)	1	Computational Intelligence	NULL	Comput. Intell.	NULL		NULL	NULL	Computer science, Artificial intelligence	NULL	Wiley-Blackwell	1985-present	NULL	NULL	0.704	2010	COMIE6	NULL	86649773	12073389	NULL	1467-8640	NULL
Science (journal)	1	Science	NULL	Science	NULL	United States	NULL	NULL	Multidisciplinary	NULL	American Association for the Advancement of Science	1880–present	No		37.205	2016	SCIEAS	00368075	17024346	1644869	NULL	1095-9203	NULL
Organic Syntheses	1	Organic Syntheses	NULL	Org. Synth.	NULL		NULL	NULL	Organic chemistry	NULL	Organic Syntheses, Inc., John Wiley & Sons	1921-present	Yes	NULL	NULL	NULL	ORSYAT	NULL	21017747	611353626	NULL	NULL	NULL
Journal of Historical Review	1	Journal of Historical Review	NULL	J. Hist. Rev.	NULL	United States	NULL	NULL	History	no	Institute for Historical Review	1980–2002	NULL	NULL			NULL			5584935	NULL	0195-6752	NULL
Genome Research	1	Genome Research	NULL	Genome Res.	NULL	United States	NULL	NULL	Genetics, genomics	NULL	Cold Spring Harbor Laboratory Press	1991-present	After 6 months	NULL	11.351	2015	GEREFS	NULL	sn95029259	33123409	NULL	1549-5469	NULL
Mathematical Reviews	1	Mathematical Reviews	NULL	Math. Rev.	NULL		NULL	NULL		NULL										1756873	NULL		NULL
Centaurus (journal)	1	Centaurus	NULL	Centaurus	NULL		NULL	NULL	History of science	NULL	John Wiley & Sons	1950–present								611999949	NULL	1600-0498	NULL
Philo (journal)	1	Philo	NULL	Philo	NULL	United States	NULL	NULL	Philosophy	NULL	Center for Inquiry	1998–2014	NULL	NULL	NULL	NULL			sn98001862	38569156	NULL	2154-1639	NULL
Texas International Law Journal	1	Texas International Law Journal	NULL	NULL	NULL	United States	NULL	NULL	Law, Comparative law, International law	NULL	UT Law Publications	1965-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1767354	NULL	NULL	NULL
Glimmer Train	1	Glimmer Train	NULL		English	United States	NULL	NULL	Literary journal		Glimmer Train Press	1990-present								23298128	NULL		NULL
Earth Interactions	1	NULL	NULL	Earth Interact.	NULL	United States	NULL	NULL	Geosciences	NULL	American Meteorological Society, American Geophysical Union, and Association of American Geographers	1996-present	Fully Open Access	NULL	1.319	2015	EINTFP	NULL	NULL	NULL	NULL	1087-3562	NULL
Constellations (journal)	1	Constellations	NULL	Constellations	NULL		NULL	NULL	critical and democratic theory	NULL	Wiley-Blackwell	1994-present					CNSTES		94646452	30590774	NULL	1467-8675	NULL
Journal of Physical Chemistry B	1	NULL	NULL	J. Phys. Chem. B	NULL	United States	NULL	NULL	Physical Chemistry	NULL	American Chemical Society	1997-present	NULL	NULL	3.177	2016	NULL	NULL	NULL	NULL	NULL	1520-5207	NULL
Biometrika	1	NULL	NULL	Biometrika	NULL		NULL	NULL	Statistics	NULL	Biometrika Trust, Oxford University Press	1901–present	NULL	NULL	1.912	2011	BIOKAX	00063444	25005151	41669958	NULL	1464-3510	NULL
Journal of Homosexuality	1	NULL	NULL	J. Homosex	NULL		NULL	NULL	Sexology, queer studies	NULL	Routledge	1976-present	NULL	NULL	0.862	2015	JOHOD7	NULL	74-78295	01790856	NULL	1540-3602	NULL
Analytical Chemistry (journal)	1	Analytical Chemistry	NULL	Anal. Chem.	NULL	United States	NULL	NULL	Chemistry	NULL	ACS Publications	1929–present			6.320	2016	ANCHAM		31021682	37355019	NULL	1520-6882	NULL
Computational Linguistics (journal)	1	Computational Linguistics	NULL	Comput. Linguist.	English	United States	NULL	NULL	Computational linguistics	NULL	Association for Computational Linguistics and MIT Press	1974-present	yes	NULL	2.212	2009				44539138	NULL	1530-9312	NULL
Health Economics	1	Health Economics	NULL	Health Econ.	NULL		NULL	NULL	Health economics		John Wiley & Sons	1992-present	Hybrid		2.123	2011	HEECEZ		92645957	771149345	NULL	1099-1050	NULL
Pacific Journal of Mathematics	1	Pacific Journal of Mathematics	NULL	Pac. J. Math.	English	US	NULL	NULL	Mathematics	NULL	Mathematical Sciences Publishers	NULL	NULL	NULL	0.433	2014	NULL	NULL	NULL	1761678	NULL		NULL
Journal of Men, Masculinities and Spirituality	1	Journal of Men, Masculinities and Spirituality	NULL	JMMS	English	New Zealand Journal of Men, Masculinities and Spirituality Directory of Open Access Journals	NULL	NULL	men's studies		online	2007-present	Open access								NULL		NULL
Journal of the American Chemical Society	1	Journal of the American Chemical Society	NULL	J. Am. Chem. Soc.	NULL	United States	NULL	NULL	Chemistry	NULL	American Chemical Society	1879–present			13.858	2016	JACSAT		16003159	01226990	NULL	1520-5126	NULL
The Information Society	1	The Information Society	NULL	Inform. Soc.	NULL	United States	NULL	NULL	Sociology	NULL	Taylor and Francis	1981–present	NULL	NULL	1.048	2014	INSCD8	NULL	81645518	5986609	NULL	1087-6537	NULL
Glasgow University Dialectic Society	1	Groundings	NULL		English	United Kingdom	NULL	NULL	Humanities, arts, social sciences	NULL	Glasgow University Dialectic Society	2007-present									NULL	1755-2702	NULL
Popular Astronomy (UK magazine)	1	Popular Astronomy	NULL		English	United Kingdom	NULL	NULL	Amateur Astronomy		The Society for Popular Astronomy	1953-present									NULL		NULL
TUGboat	1	NULL	NULL		various (usually English)	USA	NULL	NULL	Digital typography	NULL	TUG	1980 to present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
French Studies	1	French Studies	NULL	Fr. Stud.	English, French		NULL	NULL	French language, French literature	NULL	Oxford University Press on behalf of the Society for French Studies	1947-present							52052554	185432992	NULL	1468-2931	NULL
Critical Review (journal)	1	Critical Review	NULL	Crit. Rev.	NULL		NULL	NULL	Political science, economics	NULL	Routledge for the Critical Review Foundation	1986–present			0.320	2014	CTRVE3		sn86002793	50588476	NULL	1933-8007	NULL
Historische Sprachforschung	1	Historische Sprachforschung	NULL		English, French, German		NULL	NULL	Indo-European historical linguistics	NULL	Vandenhoeck & Ruprecht	1852-present						09353518	89642899	237226312	NULL		NULL
Journal of the Association for Information Science and Technology	1	Journal of the Association for Information Science and Technology	NULL	J. Assoc. Inf. Sci. Technol.	NULL		NULL	NULL	Information science	NULL	Wiley-Blackwell	1950–present			2.230	2013	JASIEF		00212816	45266164	NULL	1532-2890	NULL
Copeia	1	Copeia	NULL	Copeia	NULL	United States	NULL	NULL	Ichthyology and Herpetology	NULL	American Society of Ichthyologists and Herpetologists	1913–present			0.901	2014	COPAAR	00458511	a43003155	01565060	NULL	1938-5110	NULL
International Journal of Central Banking	1	International Journal of Central Banking	NULL			United States	NULL	NULL	Economics			2005 to present									NULL		NULL
Journal of Japanese Studies	1	Journal of Japanese Studies	NULL		English	United States	NULL	NULL	Japanese studies		The Society for Japanese Studies	1974–present						00956848	75641024	1798633	NULL	1549-4721	NULL
The Journal of Politics	1	NULL	NULL	J. Politics	NULL	United States	NULL	NULL	Political science	NULL	University of Chicago Press	1939-present		NULL	1.840	2015	NULL	00223816	41016606	38309773	NULL	1468-2508	NULL
Birding (magazine)	1	Birding	NULL	Birding	English	United States	NULL	NULL	Ornithology	NULL	American Birding Association	-present	NULL	NULL			NULL	NULL	NULL	NULL	NULL		NULL
Perkin Transactions	1	Perkin Transactions	NULL	Perkin Trans.	NULL	United Kingdom	NULL	NULL	Chemistry	NULL	Royal Society of Chemistry	1997 to 2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Journal of Consciousness Studies	1	Journal of Consciousness Studies	NULL	J. Conscious. Stud.	NULL		NULL	NULL	Cognitive science, neurophysiology, philosophy	NULL	Imprint Academic	1994-present		NULL	.78	2011				32043673	NULL		NULL
Israel Medical Association Journal	1	Israel Medical Association Journal	NULL	Isr. Med. Assoc. J.		Israel	NULL	NULL	Medicine		Israel Medical Association	1999			0.978	2012			00-243088	43614582	NULL		NULL
Current Anthropology	1	NULL	NULL	Curr. Anthropol.	NULL	USA	NULL	NULL	anthropology	NULL	University of Chicago Press	1959 - present		NULL	1.925	NULL	NULL	NULL	NULL	NULL	NULL	1537-5382	NULL
Plant Physiology (journal)	1	Plant Physiology	NULL	Plant Physiol.	NULL	United States	NULL	NULL	Plant biology	NULL	American Society of Plant Biologists	1926–present		NULL	6.280	2015				1642351	NULL	1532-2548	NULL
Geology (journal)	1	Geology	NULL	Geol.	English	United States	NULL	NULL	Geology		Geological Society of America	1973–present									NULL	1943-2682	NULL
Pacific Northwest Quarterly	1	Pacific Northwest Quarterly	NULL	PNQ	English	United States	NULL	NULL	History	NULL	University of Washington	1906-current		NULL						2392232	NULL		NULL
Marine Geology (journal)	1	Marine Geology	NULL		English		NULL	NULL	Marine geology	NULL	Elsevier	1964 to present	No		2.710	2014		NULL			NULL		NULL
IEEE Transactions on Software Engineering	1	NULL	NULL	IEEE Trans. Softw. Eng.	NULL		NULL	NULL	Software engineering	NULL	IEEE Computer Society	1975–present			2.292	2013	IESEDJ		75644175	1434336	NULL	1939-3520	NULL
Journal of Recreational Mathematics	1	Journal of Recreational Mathematics	NULL	NULL	NULL	United States	NULL	NULL	Recreational mathematics	NULL	Baywood Publishing Company	1968–2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Bulletin of the American Mathematical Society	1	Bulletin of the American Mathematical Society	NULL	Bull. Am. Math. Soc.	English	USA	NULL	NULL	Mathematics	NULL	American Mathematical Society	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Journal of the American Society for Mass Spectrometry	1	NULL	NULL	J. Am. Soc. Mass Spectrom.	NULL	United States	NULL	NULL	Chemistry	NULL	Springer Science+Business Media	1990–present	NULL	NULL	2.945	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Cell Cycle (journal)	1	Cell Cycle	NULL	Cell Cycle	NULL		NULL	NULL	Cell biology	NULL	Taylor & Francis	2002-present			3.952	2015	CCEYAS		2002212522	48778167	NULL	1551-4005	NULL
American Journal of Political Science	1	American Journal of Political Science	NULL	Am. J. Political Sci.	NULL	United States	NULL	NULL	Political science	NULL	Wiley-Blackwell for the Midwest Political Science Association	1956–present		NULL	4.515	2015	NULL	00925853	73647828	884770809	NULL	1540-5907	NULL
BioEssays	1	BioEssays	NULL	BioEssays	NULL		NULL	NULL	Biology	NULL	John Wiley & Sons	1984–present			4.725	2015	BIOEEJ		98641457	11195715	NULL	1521-1878	NULL
Nature Reviews Cancer	1	Nature Reviews Cancer	NULL	Nat. Rev. Cancer	English	United Kingdom	NULL	NULL	Cancer research	NULL	Nature Publishing Group	Oct. 2001–present		NULL	37.147	2016					NULL	1474-1768	NULL
Journal of Genetics	1	Journal of Genetics	NULL	J. Genet.	NULL	India	NULL	NULL	Genetics	NULL	Indian Academy of Sciences and Springer Science+Business Media	1910–1977, 1985–present			1.108	2015	JOGNAU		sg16000022	908997602	NULL	0973-7731	NULL
Journal of Biogeography	1	Journal of Biogeography	NULL	J. Biogeogr.	NULL		NULL	NULL	Biogeography	NULL	Wiley-Blackwell	1974–present	NULL	NULL	4.544	2011	JBIODN	NULL	75640198	45446950	NULL	1365-2699	NULL
Science Fiction Studies	1	Science Fiction Studies	NULL	Sci. Fict. Stud.	NULL		NULL	NULL	Science fiction	NULL	SF-TH Inc.	1973-present						00917729	73644793	301704877	NULL		NULL
SIAM Journal on Computing	1	SIAM Journal on Computing	NULL	SIAM J. Comput.	NULL	United States	NULL	NULL	Computer science	NULL	Society for Industrial and Applied Mathematics	1972–present	no	NULL	NULL	NULL	SMJCAT	NULL	NULL	NULL	NULL	1095-7111	NULL
Perspectives of New Music	1	Perspectives of New Music	NULL	Perspect. New Music	NULL		NULL	NULL	Music theory and musical analysis	NULL	Perspectives of New Music	1962–present						00316016	66089176	805415023	NULL		NULL
Bulletin of the British Ornithologists' Club	1	Bulletin of the British Ornithologists' Club	NULL	Bull. Br. Ornithol. Club	English	United Kingdom	NULL	NULL	Ornithology		British Ornithologists' Club	1892-present										2513-9894	NULL
Heredity (journal)	1	Heredity	NULL	Heredity	NULL		NULL	NULL	Heredity, genetics	NULL	Nature Publishing Group for The Genetics Society				3.801	2015					NULL	1365-2540	NULL
Bell Labs Technical Journal	1	NULL	NULL	Bell Labs Tech. J.	NULL		AT&T Technical Journal, AT&T Bell Laboratories Technical Journal, The Bell System Technical Journal	NULL	Electrical engineering, computer science, telecommunication	NULL	IEEE	1996–present	NULL	NULL	1.2	2015	NULL	NULL	NULL	NULL	NULL	1538-7305	NULL
Acta Anaesthesiologica Scandinavica	1	Acta Anaesthesiologica Scandinavica	NULL	Acta Anaesthesiol Scand	NULL	NULL	NULL	NULL	anaesthesia	NULL	Wiley-Blackwell	1957–present	NULL	NULL	2.355	2012	NULL	NULL	NULL	604547799	NULL	1399-6576	NULL
Maledicta	1	Maledicta	NULL	Maledicta	NULL		NULL	NULL	Linguistics, profanity	NULL	Reinhold Aman	1977–2005	NULL	NULL					77649633	3188018	NULL		NULL
Southern Economic Association	1	Southern Economic Journal	NULL	South. Econ. J.	NULL	United States	NULL	NULL	Economics	NULL	Southern Economic Association via Wiley-Blackwell	1933–present	NULL	NULL			SECJAR	00384038	36005384	54396479	NULL	2325-8012	NULL
Mankind Quarterly	1	Mankind Quarterly	NULL	Mank. Q.	NULL	United States	NULL	NULL	Anthropology	NULL		1961–present	NULL	NULL			MKQUA4	NULL	63024971	820324	NULL	NULL	NULL
Mankind Quarterly	2	Mankind Quarterly Monographs	NULL	Mank. Q. Monogr.	NULL	United Kingdom	NULL	NULL	Anthropology	NULL	Ulster Institute for Social Research	NULL	NULL	NULL	NULL	NULL	MAQUE6	NULL	sf89030002	149980257	NULL	NULL	NULL
Ploughshares	1	Ploughshares	NULL		NULL	United States	NULL	NULL	Literary magazine		Emerson College	-present						00484474			NULL		NULL
Catholics for Choice	1	Conscience	NULL		English	United States		NULL	NULL	NULL	Catholics for Choice	1999-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Indogermanische Forschungen	1	Indogermanische Forschungen	NULL	Indogerm. Forsch.	English, French, German		NULL	NULL	Indo-European studies	NULL	Walter de Gruyter	1892–present			0.206	2015			10328401	406587027	NULL	1613-0405	NULL
Deviant Behavior (journal)	1	Deviant Behavior	NULL		NULL	United States	NULL	NULL		NULL	Taylor and Francis	1979–present	NULL	NULL	1.000	2010	NULL			889408017	NULL	1521-0456	NULL
Algebra i Logika	1	Algebra i Logika	NULL		Russian, English	Russia	NULL	NULL	Mathematics		Siberian Fund for Algebra and Logic	1962–present			0.493	2012					NULL		NULL
Economics Letters	1	Economics Letters	NULL	Econ. Lett.	NULL	Netherlands	NULL	NULL	Economics	NULL	Elsevier	1978-present		NULL	0.510	2014	ECLEDS	NULL	85642356	4596608	NULL	NULL	NULL
Algorithms (journal)	1	Algorithms	NULL	Algorithms	NULL		NULL	NULL	Algorithms	NULL	MDPI	2008-present	Yes	NULL	NULL	NULL	NULL	NULL	NULL	405716627	NULL	NULL	NULL
Wisconsin Law Review	1	Wisconsin Law Review	NULL	Wis. Law Rev.	NULL	United States	NULL	Wis. L. Rev.	Law	NULL	University of Wisconsin Law School	1920-present		NULL			NULL	NULL	25025664	01607158	NULL	NULL	NULL
Journal of Economic Theory	1	Journal of Economic Theory	NULL	J. Econ. Theory	English	United States	NULL	NULL	Economics	NULL	Elsevier	1969–present	NULL	NULL	1.033	2014	JECTAQ	NULL	72009216	644497676	NULL		NULL
The Monist	1	The Monist	NULL	Monist	NULL		NULL	NULL	Philosophy	NULL	Oxford University Press on behalf of the Hegeler Institute	1890–1936; 1962–present	NULL	NULL	NULL	NULL			08-22458	1758549	NULL	2153-3601	NULL
American Political Science Review	1	American Political Science Review	NULL	Am. Political Sci. Rev.	NULL	United States	NULL	NULL	Political science, international relations	NULL	Cambridge University Press on behalf of the American Political Science Association	1906–present	NULL	NULL	3.444	2015	NULL	00030554	08009025	805068983	NULL	1537-5943	NULL
